Type,Udbudsform,Energimærke,Varmekilde,Byggeår,Rum,Bad,Toilet,Plan,Boligareal,Kælder,Garage,Grundareal,Kontantpris,Ejerudgift,address,Ombygget,Carport,Udhus,Fritliggende overdækning,Etage,Leje pr. md.,Depositum,Udestue,Ukendt bygning,Vindfang,Overdækket areal,Overdækning,Hønsehus,Legehus,Lade og garage,Tiloversbleven landbrugsbygning,Udhus (gildesal),Erhverv,Købspris,Teknisk Pris,Ydelse,Drivhus,"Stald til kvæg, får mv.","Maskinhus, garage mv.","Lade til foder, afgrøder mv.",pulterrum,Fritliggende udestue,Væksthus,Bygning til industri uden integreret produktionsapparat,Altan,Skur,,overdækket areal,Anneks,Anneks i tilknytning til helårsbolig.,Anden bygning til landbrug mv.,altan/terrasse,Overdækket terrasse,Lade/garage,Maskinhus,"(UDFASES) Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign",Pulterrum,kælderrum,Pejsestue,Stald,Lade,Kælderrum,Loftrum,Altan ,Anneks i tilknytning til fritids- og sommerhus,Fritliggende enfamiliehus,"Lade til halm, hø mv.",Ukendt,Depotrum ,Fyrrum,Værksted,Maskinhus&nbsp;,Staldbygning,altan,Drivhus 2,Sommerhus,kælder,Redskabsrum,Garage/udhus,Bolig,Disp. rum,Brændeskur,Anden bygning til serviceerhverv,Udestue ,Stald til svin,Stald til fjerkræ,Bygning til kontor,Landbrugsbygning,Svinestald,tagetage,Cykelskur,Udhuse,Bygning til detailhandel,udestue,garage/udhus,værksted,"maskinhus, garage mv.",Andre bygninger til landbrug mv.,Overdækning/brændeskur,Indendørs swimmingpool rum,Overdækkede arealer,Carport/udhus,Fællesrum i bygning 2 (værksted) ,Carport/Skur,altan/tagterrasse,areal af åben altan/tagterrasse,Anneks indeholdt i det samlede boligareal,Depotrum,Bygning til lager,Overdækket terrasse ,"Anden bygning til transport, handel etc",Værksted 109 m2 + 3 vær. til bolig 94 m2,"Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri",Underetage,Hestestald,Ridehal,Anden bygning til fritidsformål,Beboelse,Swimming pool,Erhverv - Værksted/Lade bygning,"Nørrebro 8B, stuen Værksted ",Andel fælleshus,Kælder under garage,balkonareal,Lagerbygning,Anden bygning til institutionsformål,Kælderum ,Pulterrum på loftet,Loftværelse ,"Kælder, jf. BBR-meddelelse",Stald&nbsp;,Pavillon,tagterrasse,Gammel mølle - bygning til fritidsformål,Badeværelse i kælder godkendt til beboelse,Parkeringspergola,anden villa,"Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign",Hundehus,Bygning til erhvervsmæssig produktion,Bygning til erhvervsmæssig produktion i,210,Anden bygning til produktion,Fritliggende udhus,Pulterrum i kælder,Anden bygning til helårsbeboelse,Orangeri,Overdækket areal ,Teknikrum,Isoleret skur/disponibelt rum,Overdækket terasse,staldbygning,maskinhus,Værksted/erhverv,Garage/Værksted,Lejlighed,Altan/terrasse,hobbyrum/indbygget udhus,stue/udestue,Depotrum i kælder,Bygning til træning og opstaldning af heste,Udekøkken/Udhus,Brugsret kælderrum,Erhvervsdel,Andel i fællesareal,Udhus/Værksted,Overterrasse/overdækning,Vaskehus,Overdækket altan,Erhvervsareal,Anneks med erhvervsstatus,Overdækket terrasse jf. fælles BBR,Overdækket arealt,Minkhal,Lysthus (ikke registreret på BBR),Garage (ikke registreret på BBR),Loftsrum,depotrum,Bygning til parkering af flere end to køretøjer i tilknytning til boliger,Kælder i maskinhus,Garage i kælder,hems og loftrum,øvrige arealer,Dobbelthus,Bygning til parkering- og transportanlæg,Fordelingstal:   238/710,Altan på ca. 6m2,Uudmyttet loftsrum,Værksted/udhus,overdækning,Erhverv - Anden bygning til landbrug mv.,"Erhverv - Lade til foder, afgrøder mv.",Strygestue,Skabsrum,Viktuolierum,Kælderum,garage,Erhverv. Heraf er 30m² udhus inkluderet.,Carport/Udhus,Voliere,Havepavillion,Carport/skur,udhus med indbygget carport på 21 kvm
Villa / Fritidsbolig,Salg,E,Fjernvarme/blokvarme,1917,6,1,1,1,170,12,25,710,595.000,1.590,"Bygaden 42, Tullebølle 5953 Tranekær",1976,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,C,Fjernvarme,1991,4,1,1,1,91,,,255,1.495.000,1.840,Meldgårdvej 12 7500 Holstebro,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme,1959,4,1,1,1,119,38,39,798,3.998.000,3.351,"Solhøjvej 23, Hasle 8210 Aarhus V",1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme,1976,6,2,2,2,193,,,880,3.495.000,3.161,"Vidarsvej 34, Hvinningdal 8600 Silkeborg",,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,A2015,Fjernvarme/blokvarme,2019,2,1,1,1,104,,,2.280,3.995.000,2.172,"Søndre Badevej 3C, 1. 3. 4600 Køge",,,,,1.,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,F,Naturgasfyret centralvarme,1947,6,2,2,3,159,110,24,1.150,7.995.000,4.711,Blegdammen 28 4600 Køge,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Fjernvarme/blokvarme,1906,5,1,1,2,110,9,,323,7.995.000,5.843,Selveje Allé 1 2500 Valby,,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,E,Centralvarme med én fyringsenhed,1962,3,1,1,1,88,,,793,1.595.000,1.576,Vestergade 18 5560 Aarup,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,B,"El, varmepumpe luft til vand",1887,3,1,1,2,106,,,1.095,2.750.000,2.277,"Gillelejevej 66, Esbønderup 3230 Græsted",2000,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Centralvarme med én fyringsenhed,1955,4,1,2,,149,,23,668,,,Gefionsvej 72A 3000 Helsingør,1976,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,A2015,Fjernvarme,2022,4,2,2,1,137,,,,7.000.000,5.897,"Nicoline Kochs Plads 17, 2. 3. 8000 Aarhus C",,,,,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,E,Naturgas,1961,4,2,2,1,88,,,420,2.995.000,3.462,Skærsøvej 17 2665 Vallensbæk Strand,1982,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,E,Ovn til fast og flydende brændsel,1900,4,1,1,2,112,,21,1.885,845.000,2.195,Hovedgaden 96 4295 Stenlille,1965,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,D,Fjernvarme/blokvarme,1934,2,1,1,1,78,,,1.175,2.850.000,2.807,"Jensløvsvej 15, st.. 2920 Charlottenlund",,,,,st.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme,1961,4,2,2,1,163,,32,740,,,Damgade 62 6400 Sønderborg,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landejendom,Salg,C,Centralvarme med én fyringsenhed,1858,9,4,4,2,496,8,55,"3,5 ha",2.750.000,3.524,"Stubbekøbingvej 58A, Gundslev 4840 Nørre Alslev",2004,,55,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,G,Centralvarme med én fyringsenhed,1905,5,1,1,,131,14,48,1.379,845.000,1.487,Brandstrupvej 73 8840 Rødkærsbro,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,F,Flydende brændsel,1959,4,1,1,1,131,45,20,1.182,3.995.000,3.871,Mose Alle 3 2610 Rødovre,,,19,,,,,18,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fritidsbolig,Salg,,Varmepumpe,1996,3,1,1,1,67,,,928,,,"Bysvalevej 6, Ll Kongsmark 4200 Slagelse",,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,B,Fjernvarme/blokvarme,1981,5,1,2,,160,,,1.043,4.995.000,2.831,Toftegårdsvej 6B 3520 Farum,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Varmepumpe,1975,5,1,1,1,153,,28,794,1.895.000,1.594,Nordlundvej 176 7330 Brande,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Naturgas,1999,3,1,2,1,125,,,500,2.395.000,2.804,"Egense Birkevej 2, Egense 5700 Svendborg",,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,F,Fjernvarme/blokvarme,1945,4,1,1,2,120,,,639,895.000,2.147,"Holbækvej 200, Syvendekøb 4440 Mørkøv",,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,A2015,Varmepumpe,2019,4,2,2,2,194,,,852,11.200.000,3.605,Iriskvej 13 2670 Greve,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa / Landejendom,Salg,D,Centralvarme med én fyringsenhed,1881,6,2,3,1,278,15,,22.977,4.295.000,2.015,Sørupvej 59 5700 Svendborg,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,B,Centralvarme med én fyringsenhed,1988,7,2,2,2,259,,,2.886,11.495.000,7.113,Mosegårdsvej 15 2820 Gentofte,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Varmepumpe + El + Brændeovn,1964,5,2,2,1,168,,,836,2.795.000,2.231,Ringstedvej 604 4100 Ringsted,1995,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,G,Elvarme,1960,4,1,1,1,104,44,,884,695.000,1.180,"Nyvej 15, Styding 6500 Vojens",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,A2015,Fjernvarme,2021,3,1,1,1,103,,,,3.995.000,2.693,"Søtorvet 10, 6. 3., Midtbyen 8600 Silkeborg",,,,,6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,B,Fjernvarme,1997,5,2,2,1,151,,38,864,1.925.000,2.126,Vindelevgård 161 7830 Vinderup,2018,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Naturgas,2003,8,2,2,2,206,51,,1.029,3.795.000,2.405,"Jasminvej 2, Salten 8653 Them",2006,33,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Varmepumpe,1948,6,1,2,3,207,61,47,4.163,2.495.000,2.621,Jorløsevej 10 4470 Svebølle,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Fjernvarme,1969,4,1,1,2,124,89,24,760,3.198.000,2.956,Skoleparken 94 8330 Beder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,A,Centralvarme med én fyringsenhed,2021,4,1,1,1,120,,,400,6.695.000,3.849,Gammelmosevej 204A 2800 Lyngby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,A2010,Fjernvarme,2022,4,2,2,1,149,,,,7.700.000,6.872,"Helga Pedersens Gade 79, 8. 6. 8000 Aarhus C",,,,,8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Varmepumpe,1974,5,2,2,1,185,,,19.381,2.495.000,2.092,Røddinglundvej 9 7480 Vildbjerg,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Centralvarme med én fyringsenhed,1996,7,3,3,,166,,,2.128,2.995.000,2.289,Malervænget 2 5560 Aarup,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helårsgrund,Salg,,Ingen,,,,,,,,,660,1.695.000,1.081,Sedenvej 1 5000 Odense C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme/blokvarme,1971,6,1,3,2,196,48,,1.470,,,Vestervang 24 5492 Vissenbjerg,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Elvarme,1984,5,2,2,1,136,,,1.399,6.895.000,8.754,Skovskellet 50 2840 Holte,,49,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Salg,E,Fjernvarme/blokvarme,1903,3,1,1,1,75,,,426,995.000,2.397,"Danmarksgade 40, 1. tv. 7000 Fredericia",,,,,1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,C,Centralvarme med én fyringsenhed,1987,5,2,2,2,117,,,,6.195.000,4.667,"Holtegårdsvej 61, Gl Holte 2840 Holte",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,E,Varmepumpe luft/vand,1933,4,1,1,1,125,,,960,,,"Søndervej 85, Thurø 5700 Svendborg",,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,E,Fjernvarme,1905,7,3,3,3,241,125,24,524,3.295.000,2.576,Kongensgade 11 4800 Nykøbing F,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,C,Fjernvarme/blokvarme,1890,5,2,2,2,130,,25,408,1.995.000,2.003,Gøhlmannsvej 55 6000 Kolding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
